date,collected,site_id,hakai_id,depth,group,scientificName,AphiaID,orig_name,scientificName_accepted,trophicStatus,rank,kingdom,phylum,class,order,family,genus,lifeStage,identificationQualifier,identificationRemark,count
2016-02-23,2016-02-23T19:04:02Z,QU39,QPHY302,0,Dictyochophyta,Apedinella spinifera,248098,Apedinella spinifera,Apedinella radians,auto,Species,Chromista,Ochrophyta,Dictyochophyceae,Pedinellales,Pedinellaceae,Apedinella,NA,NA,NA,7000
2016-02-23,2016-02-23T19:04:02Z,QU39,QPHY302,0,Dictyochophyta,Dictyocha speculum,157260,Dictyocha speculum,Octactis speculum,auto,Species,Chromista,Ochrophyta,Dictyochophyceae,Dictyochales,Dictyochaceae,Dictyocha,NA,NA,NA,1520
2016-02-23,2016-02-23T19:04:02Z,QU39,QPHY302,0,Dictyochophyta,Dictyocha,157258,Dictyocha,Dictyocha,auto,Genus,Chromista,Ochrophyta,Dictyochophyceae,Dictyochales,Dictyochaceae,Dictyocha,spores,Indet.,NA,1480
2016-02-23,2016-02-23T19:04:02Z,QU39,QPHY302,0,Dinoflagellata,Gymnodinium,109475,Gymnodinium,Gymnodinium,auto,Genus,Chromista,Myzozoa,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Gymnodinium,NA,spp. Indet.,NA,80
2016-02-23,2016-02-23T19:04:02Z,QU39,QPHY302,0,Dinoflagellata,Gyrodinium,109476,Gyrodinium,Gyrodinium,auto,Genus,Chromista,Myzozoa,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Gyrodinium,NA,spp. Indet.,NA,320
2016-02-23,2016-02-23T19:04:02Z,QU39,QPHY302,0,Dinoflagellata,Dinophyceae,19542,Dinophyceae,Dinophyceae,auto,Class,Chromista,Myzozoa,Dinophyceae,NA,NA,NA,resting spores,Indet.,NA,80
2016-02-23,2016-02-23T19:04:02Z,QU39,QPHY302,0,Unknown_flagellate,Protozoa,5,Protozoa,Protozoa,auto,Kingdom,Protozoa,NA,NA,NA,NA,NA,NA,Indet.,NA,269500
2016-02-23,2016-02-23T19:04:02Z,QU39,QPHY302,0,Bacillariophyta,Pennales,1304629,Pennales,Pennales,auto,Order,Chromista,Ochrophyta,Bacillariophyceae,Pennales,NA,NA,NA,Indet.,NA,320
2016-02-23,2016-02-23T19:04:02Z,QU39,QPHY302,0,Ciliophora,Oligotrichea,732974,Oligotrichea,Oligotrichea,hetero,Class,Chromista,Ciliophora,Oligotrichea,NA,NA,NA,NA,Indet.,NA,1320
2016-03-22,2016-03-22T16:37:08Z,QU39,QPHY365,0,Bacillariophyta,Asterionellopsis glacialis,149139,Asterionellopsis glacialis,Asterionella glacialis,auto,Species,Chromista,Ochrophyta,Bacillariophyceae,Fragilariales,Fragilariaceae,Asterionellopsis,NA,NA,NA,40
2016-03-22,2016-03-22T16:37:08Z,QU39,QPHY365,0,Bacillariophyta,Chaetoceros cinctus,149622,Chaetoceros cinctus,Chaetoceros cinctus,auto,Species,Chromista,Ochrophyta,Bacillariophyceae,Chaetocerotanae incertae sedis,Chaetocerotaceae,Chaetoceros,NA,NA,NA,200
2016-03-22,2016-03-22T16:37:08Z,QU39,QPHY365,0,Bacillariophyta,Chaetoceros danicus,149120,Chaetoceros danicus,Chaetoceros danicus,auto,Species,Chromista,Ochrophyta,Bacillariophyceae,Chaetocerotanae incertae sedis,Chaetocerotaceae,Chaetoceros,NA,NA,NA,680
2016-03-22,2016-03-22T16:37:08Z,QU39,QPHY365,0,Bacillariophyta,Chaetoceros debilis,149219,Chetoceros debilis,Chaetoceros debilis,auto,Species,Chromista,Ochrophyta,Bacillariophyceae,Chaetocerotanae incertae sedis,Chaetocerotaceae,Chaetoceros,NA,NA,NA,80
2016-03-22,2016-03-22T16:37:08Z,QU39,QPHY365,0,Bacillariophyta,Chaetoceros decipiens,149126,Chaetoceros decipiens,Chaetoceros decipiens,auto,Species,Chromista,Ochrophyta,Bacillariophyceae,Chaetocerotanae incertae sedis,Chaetocerotaceae,Chaetoceros,NA,NA,NA,640
2016-03-22,2016-03-22T16:37:08Z,QU39,QPHY365,0,Bacillariophyta,Dactyliosolen phuketensis,248064,Dactyliosolen phuketensis,Rhizosolenia phuketensis,auto,Species,Chromista,Ochrophyta,Bacillariophyceae,Rhizosoleniales,Rhizosoleniaceae,Dactyliosolen,NA,NA,NA,40
2016-03-22,2016-03-22T16:37:08Z,QU39,QPHY365,0,Bacillariophyta,Detonula pumila,149647,Detonula pumila,Lauderia pumila,auto,Species,Chromista,Ochrophyta,Bacillariophyceae,Thalassiosirales,Skeletonemaceae,Detonula,NA,NA,NA,800
2016-03-22,2016-03-22T16:37:08Z,QU39,QPHY365,0,Bacillariophyta,Ditylum brightwellii,149023,Ditylum brightwellii,Ditylum brightwellii,auto,Species,Chromista,Ochrophyta,Bacillariophyceae,Lithodesmiales,Lithodesmiaceae,Ditylum,NA,NA,NA,40
2016-03-22,2016-03-22T16:37:08Z,QU39,QPHY365,0,Bacillariophyta,Licmophora,149342,Licmophora,Licmophora,auto,Genus,Chromista,Ochrophyta,Bacillariophyceae,Licmophorales,Licmophoraceae,Licmophora,NA,spp. Indet.,NA,200
2016-03-22,2016-03-22T16:37:08Z,QU39,QPHY365,0,Bacillariophyta,Pleurosigma,149181,Pleurosigma,Pleurosigma,auto,Genus,Chromista,Ochrophyta,Bacillariophyceae,Naviculales,Pleurosigmataceae,Pleurosigma,NA,spp. Indet.,NA,40
2016-03-22,2016-03-22T16:37:08Z,QU39,QPHY365,0,Bacillariophyta,Pseudo-nitzschia delicatissima,149153,Pseudo-nitzschia delicatissima,Pseudo-nitzschia delicatissima,auto,Species,Chromista,Ochrophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Pseudo-nitzschia,NA,NA,NA,40
2016-03-22,2016-03-22T16:37:08Z,QU39,QPHY365,0,Bacillariophyta,Pseudo-nitzschia seriata,149152,Pseudo-nitzschia seriata,Pseudo-nitzschia seriata,auto,Species,Chromista,Ochrophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Pseudo-nitzschia,NA,NA,NA,120
2016-03-22,2016-03-22T16:37:08Z,QU39,QPHY365,0,Bacillariophyta,Rhizosolenia setigera,149115,Rhizosolenia setigera,Rhizosolenia setigera,auto,Species,Chromista,Ochrophyta,Bacillariophyceae,Rhizosoleniales,Rhizosoleniaceae,Rhizosolenia,NA,NA,NA,40
2016-03-22,2016-03-22T16:37:08Z,QU39,QPHY365,0,Bacillariophyta,Thalassiosira,148912,Thalassiosira,Thalassiosira,auto,Genus,Chromista,Ochrophyta,Bacillariophyceae,Thalassiosirales,Thalassiosiraceae,Thalassiosira,NA,spp. Indet.,NA,560
2016-03-22,2016-03-22T16:37:08Z,QU39,QPHY365,0,Bacillariophyta,Bacillariophyceae,148899,Bacillariophyceae,Bacillariophyceae,auto,Class,Chromista,Ochrophyta,Bacillariophyceae,NA,NA,NA,NA,Indet.,NA,40
2016-03-22,2016-03-22T16:37:08Z,QU39,QPHY365,0,Chlorophyta-Prasinophyta,Pyramimonas grossii,495352,Pyramimonas grossii,Pyramimonas subg. Trichocystis grossii,auto,Species,Plantae,Chlorophyta,Pyramimonadophyceae,Pyramimonadales,Pyramimonadaceae,Pyramimonas,NA,NA,NA,2188
2016-03-22,2016-03-22T16:37:08Z,QU39,QPHY365,0,Chlorophyta-Prasinophyta,Pyramimonas orientalis,547692,Pyramimonas orientalis,Pyramimonas orientalis,auto,Species,Plantae,Chlorophyta,Pyramimonadophyceae,Pyramimonadales,Pyramimonadaceae,Pyramimonas,NA,NA,NA,2188
2016-03-22,2016-03-22T16:37:08Z,QU39,QPHY365,0,Unknown_Chlorophyta?,Protozoa,5,Protozoa,Protozoa,auto,Kingdom,Protozoa,NA,NA,NA,NA,NA,NA,Indet.,Cells too small to identify. Stained blue indicating alpha starch and could be Chlorophyta,59076
2016-03-22,2016-03-22T16:37:08Z,QU39,QPHY365,0,Choanoflagellata,Parvicorbicula socialis,105588,Parvicorbicula socialis,Parvicorbicula socialis,hetero,Species,Protozoa,Choanozoa,Choanoflagellatea,Acanthoecida,Acanthoecidae,Parvicorbicula,NA,NA,NA,2188
2016-03-22,2016-03-22T16:37:08Z,QU39,QPHY365,0,Choanoflagellata,Choanozoa,562870,Choanozoa,Choanozoa,hetero,Phylum,Protozoa,Choanozoa,NA,NA,NA,NA,NA,Indet.,NA,6564
2016-03-22,2016-03-22T16:37:08Z,QU39,QPHY365,0,Ciliophora,Myrionecta rubra,292896,Myronecta rubra,Mesodinium rubrum,hetero,Species,Chromista,Ciliophora,Litostomatea,Cyclotrichiida,Mesodiniidae,Myrionecta,NA,NA,NA,240
2016-03-22,2016-03-22T16:37:08Z,QU39,QPHY365,0,Ciliophora,Tintinnina,732976,Tintinnina,Tintinnina,hetero,Suborder,Chromista,Ciliophora,Oligotrichea,Choreotrichida,NA,NA,NA,Indet.,NA,520
2016-03-22,2016-03-22T16:37:08Z,QU39,QPHY365,0,Cryptophyta,Hillea,178565,Hillea,Hillea,auto,Genus,Chromista,Cryptophyta,Cryptophyceae,Cryptomonadales,Hilleaceae,Hillea,NA,sp. Indet.,NA,43760
2016-03-22,2016-03-22T16:37:08Z,QU39,QPHY365,0,Cryptophyta,Teleaulax,106285,Teleaulax,Teleaulax,auto,Genus,Chromista,Cryptophyta,Cryptophyceae,Pyrenomonadales,Geminigeraceae,Teleaulax,NA,spp. Indet.,NA,13128
2016-03-22,2016-03-22T16:37:08Z,QU39,QPHY365,0,Dictyochophyta,Apedinella spinifera,248098,Apedinella spinifera,Apedinella radians,auto,Species,Chromista,Ochrophyta,Dictyochophyceae,Pedinellales,Pedinellaceae,Apedinella,NA,NA,NA,15316
2016-03-22,2016-03-22T16:37:08Z,QU39,QPHY365,0,Dictyochophyta,Dictyocha speculum,157260,Dictyocha speculum,Octactis speculum,auto,Species,Chromista,Ochrophyta,Dictyochophyceae,Dictyochales,Dictyochaceae,Dictyocha,NA,NA,NA,2760
2016-03-22,2016-03-22T16:37:08Z,QU39,QPHY365,0,Dictyochophyta,Dictyocha,157258,Dictyocha,Dictyocha,auto,Genus,Chromista,Ochrophyta,Dictyochophyceae,Dictyochales,Dictyochaceae,Dictyocha,spores,Indet.,NA,360
2016-03-22,2016-03-22T16:37:08Z,QU39,QPHY365,0,Dinoflagellata,Dinophysis,109462,Dinophysis,Dinophysis,auto,Genus,Chromista,Myzozoa,Dinophyceae,Dinophysiales,Dinophysaceae,Dinophysis,NA,sp. Indet.,NA,40
2016-03-22,2016-03-22T16:37:08Z,QU39,QPHY365,0,Dinoflagellata,Gymnodinium,109475,Gymnodinium,Gymnodinium,auto,Genus,Chromista,Myzozoa,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Gymnodinium,NA,spp. Indet.,NA,400
2016-03-22,2016-03-22T16:37:08Z,QU39,QPHY365,0,Dinoflagellata,Gyrodinium,109476,Gyrodinium,Gyrodinium,auto,Genus,Chromista,Myzozoa,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Gyrodinium,NA,spp. Indet.,NA,440
2016-03-22,2016-03-22T16:37:08Z,QU39,QPHY365,0,Dinoflagellata,Protoperidinium steinii,110257,Protoperidinium steinii,Protoperidinium steinii,auto,Species,Chromista,Myzozoa,Dinophyceae,Peridiniales,Protoperidiniaceae,Protoperidinium,NA,NA,NA,40
2016-03-22,2016-03-22T16:37:08Z,QU39,QPHY365,0,Dinoflagellata,Dinophyceae,19542,Dinophyceae,Dinophyceae,auto,Class,Chromista,Myzozoa,Dinophyceae,NA,NA,NA,resting spores,Indet.,NA,80
2016-03-22,2016-03-22T16:37:08Z,QU39,QPHY365,0,Dinoflagellata,Scrippsiella precaria,110173,Scrippsiella precarea,Scrippsiella precaria,auto,Species,Chromista,Myzozoa,Dinophyceae,Peridiniales,Peridiniaceae,Scrippsiella,NA,NA,NA,120
2016-03-22,2016-03-22T16:37:08Z,QU39,QPHY365,0,Dinoflagellata,Scrippsiella trochoidea,110172,Scrippsiella trochoidea,Scrippsiella acuminata,auto,Species,Chromista,Myzozoa,Dinophyceae,Peridiniales,Peridiniaceae,Scrippsiella,NA,NA,NA,160
2016-03-22,2016-03-22T16:37:08Z,QU39,QPHY365,0,Dinoflagellata,Dinophyceae,19542,Dinophyceae,Dinophyceae,auto,Class,Chromista,Myzozoa,Dinophyceae,NA,NA,NA,NA,Indet.,NA,80
2016-03-22,2016-03-22T16:37:08Z,QU39,QPHY365,0,Unknown_Dinophyceae?,Protozoa,5,Protozoa,Protozoa,auto,Kingdom,Protozoa,NA,NA,NA,NA,NA,NA,Indet.,Cells too small to identify. Showed equatorial groove and could be Dinophyceae,2188
2016-03-22,2016-03-22T16:37:08Z,QU39,QPHY365,0,Kinetoplastidea,Metromonas simplex,118059,Metromonas simplex,Metromonas simplex,hetero,Species,Chromista,Cercozoa,Metromonadea,Metromonadea incertae sedis,NA,Metromonas,NA,NA,NA,2188
2016-03-22,2016-03-22T16:37:08Z,QU39,QPHY365,0,Unknown_flagellate,Protozoa,5,Protozoa,Protozoa,auto,Kingdom,Protozoa,NA,NA,NA,NA,NA,NA,Indet.,NA,220988
2016-03-22,2016-03-22T16:37:08Z,QU39,QPHY365,0,Bacillariophyta,Pennales,1304629,Pennales,Pennales,auto,Order,Chromista,Ochrophyta,Bacillariophyceae,Pennales,NA,NA,NA,Indet.,NA,2548
2016-03-22,2016-03-22T16:37:08Z,QU39,QPHY365,0,Bacillariophyta,Chaetoceros tenuissimus,156623,Chaetoceros tenuissimus,Chaetoceros tenuissimus,auto,Species,Chromista,Ochrophyta,Bacillariophyceae,Chaetocerotanae incertae sedis,Chaetocerotaceae,Chaetoceros,NA,NA,NA,6564
2016-03-22,2016-03-22T16:37:08Z,QU39,QPHY365,0,Bacillariophyta,Chaetoceros,148985,Cheatoceros,Chaetoceros,auto,Genus,Chromista,Ochrophyta,Bacillariophyceae,Chaetocerotanae incertae sedis,Chaetocerotaceae,Chaetoceros,NA,spp. Indet.,NA,200
2016-03-22,2016-03-22T16:37:08Z,QU39,QPHY365,0,Ciliophora,Oligotrichea,732974,Oligotrichea,Oligotrichea,hetero,Class,Chromista,Ciliophora,Oligotrichea,NA,NA,NA,NA,Indet.,NA,9120
2016-03-29,2016-03-29T18:44:50Z,QU39,QPHY371,0,Bacillariophyta,Chaetoceros ceratosporus,149297,Chaetoceros ceratosporus,Chaetoceros ceratosporus,auto,Species,Chromista,Ochrophyta,Bacillariophyceae,Chaetocerotanae incertae sedis,Chaetocerotaceae,Chaetoceros,NA,NA,NA,2012
2016-03-29,2016-03-29T18:44:50Z,QU39,QPHY371,0,Bacillariophyta,Chaetoceros concavicornis,156607,Chaetoceros concavicornis,Chaetoceros concavicornis,auto,Species,Chromista,Ochrophyta,Bacillariophyceae,Chaetocerotanae incertae sedis,Chaetocerotaceae,Chaetoceros,NA,NA,NA,54
2016-03-29,2016-03-29T18:44:50Z,QU39,QPHY371,0,Bacillariophyta,Chaetoceros danicus,149120,Chaetoceros danicus,Chaetoceros danicus,auto,Species,Chromista,Ochrophyta,Bacillariophyceae,Chaetocerotanae incertae sedis,Chaetocerotaceae,Chaetoceros,NA,NA,NA,162
2016-03-29,2016-03-29T18:44:50Z,QU39,QPHY371,0,Bacillariophyta,Chaetoceros debilis,149219,Chetoceros debilis,Chaetoceros debilis,auto,Species,Chromista,Ochrophyta,Bacillariophyceae,Chaetocerotanae incertae sedis,Chaetocerotaceae,Chaetoceros,NA,NA,NA,65427
2016-03-29,2016-03-29T18:44:50Z,QU39,QPHY371,0,Bacillariophyta,Chaetoceros decipiens,149126,Chaetoceros decipiens,Chaetoceros decipiens,auto,Species,Chromista,Ochrophyta,Bacillariophyceae,Chaetocerotanae incertae sedis,Chaetocerotaceae,Chaetoceros,NA,NA,NA,649
2016-03-29,2016-03-29T18:44:50Z,QU39,QPHY371,0,Bacillariophyta,Chaetoceros radicans,163112,Chaetoceros radicans,Chaetoceros radicans,auto,Species,Chromista,Ochrophyta,Bacillariophyceae,Chaetocerotanae incertae sedis,Chaetocerotaceae,Chaetoceros,NA,NA,NA,108
2016-03-29,2016-03-29T18:44:50Z,QU39,QPHY371,0,Bacillariophyta,Cylindrotheca closterium,149004,Cylindrotheca closterium,Cylindrotheca closterium,auto,Species,Chromista,Ochrophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Cylindrotheca,NA,NA,NA,216
2016-03-29,2016-03-29T18:44:50Z,QU39,QPHY371,0,Bacillariophyta,Detonula pumila,149647,Detonula pumila,Lauderia pumila,auto,Species,Chromista,Ochrophyta,Bacillariophyceae,Thalassiosirales,Skeletonemaceae,Detonula,NA,NA,NA,811
2016-03-29,2016-03-29T18:44:50Z,QU39,QPHY371,0,Bacillariophyta,Ditylum brightwellii,149023,Ditylum brightwellii,Ditylum brightwellii,auto,Species,Chromista,Ochrophyta,Bacillariophyceae,Lithodesmiales,Lithodesmiaceae,Ditylum,NA,NA,NA,54
2016-03-29,2016-03-29T18:44:50Z,QU39,QPHY371,0,Bacillariophyta,Melosira,149042,Melosira,Melosira,auto,Genus,Chromista,Ochrophyta,Bacillariophyceae,Melosirales,Melosiraceae,Melosira,NA,sp. Indet.,NA,216
2016-03-29,2016-03-29T18:44:50Z,QU39,QPHY371,0,Bacillariophyta,Pleurosigma,149181,Pleurosigma,Pleurosigma,auto,Genus,Chromista,Ochrophyta,Bacillariophyceae,Naviculales,Pleurosigmataceae,Pleurosigma,NA,spp. Indet.,NA,324
2016-03-29,2016-03-29T18:44:50Z,QU39,QPHY371,0,Bacillariophyta,Pseudo-nitzschia delicatissima,149153,Pseudo-nitzschia delicatissima,Pseudo-nitzschia delicatissima,auto,Species,Chromista,Ochrophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Pseudo-nitzschia,NA,NA,NA,324
2016-03-29,2016-03-29T18:44:50Z,QU39,QPHY371,0,Bacillariophyta,Pseudo-nitzschia multiseries,175738,Pseudo-nitzschia multiseries,Pseudo-nitzschia multiseries,auto,Species,Chromista,Ochrophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Pseudo-nitzschia,NA,NA,NA,703
2016-03-29,2016-03-29T18:44:50Z,QU39,QPHY371,0,Bacillariophyta,Pseudo-nitzschia seriata,149152,Pseudo-nitzschia seriata,Pseudo-nitzschia seriata,auto,Species,Chromista,Ochrophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Pseudo-nitzschia,NA,NA,NA,162
2016-03-29,2016-03-29T18:44:50Z,QU39,QPHY371,0,Bacillariophyta,Rhizosolenia setigera,149115,Rhizosolenia setigera,Rhizosolenia setigera,auto,Species,Chromista,Ochrophyta,Bacillariophyceae,Rhizosoleniales,Rhizosoleniaceae,Rhizosolenia,NA,NA,NA,108
2016-03-29,2016-03-29T18:44:50Z,QU39,QPHY371,0,Bacillariophyta,Thalassionema nitzschioides,149093,Thalassionema nitzschioides,Synedra nitzschioides f. nitzschioides,auto,Species,Chromista,Ochrophyta,Bacillariophyceae,Thalassionematales,Thalassionemataceae,Thalassionema,NA,NA,NA,1135
2016-03-29,2016-03-29T18:44:50Z,QU39,QPHY371,0,Bacillariophyta,Thalassiosira rotula,148942,Thalassiosira rotula,Thalassiosira rotula,auto,Species,Chromista,Ochrophyta,Bacillariophyceae,Thalassiosirales,Thalassiosiraceae,Thalassiosira,NA,NA,NA,108
2016-03-29,2016-03-29T18:44:50Z,QU39,QPHY371,0,Bacillariophyta,Thalassiosira,148912,Thalassiosira,Thalassiosira,auto,Genus,Chromista,Ochrophyta,Bacillariophyceae,Thalassiosirales,Thalassiosiraceae,Thalassiosira,NA,spp. Indet.,NA,15026
2016-03-29,2016-03-29T18:44:50Z,QU39,QPHY371,0,Bacillariophyta,Bacillariophyceae,148899,Bacillariophyceae,Bacillariophyceae,auto,Class,Chromista,Ochrophyta,Bacillariophyceae,NA,NA,NA,NA,Indet.,NA,216
2016-03-29,2016-03-29T18:44:50Z,QU39,QPHY371,0,Chlorophyta-Prasinophyta,Pyramimonas grossii,495352,Pyramimonas grossii,Pyramimonas subg. Trichocystis grossii,auto,Species,Plantae,Chlorophyta,Pyramimonadophyceae,Pyramimonadales,Pyramimonadaceae,Pyramimonas,NA,NA,NA,1750
2016-03-29,2016-03-29T18:44:50Z,QU39,QPHY371,0,Unknown_Chlorophyta?,Protozoa,5,Protozoa,Protozoa,auto,Kingdom,Protozoa,NA,NA,NA,NA,NA,NA,Indet.,Cells too small to identify. Stained blue indicating alpha starch and could be Chlorophyta,24500
2016-03-29,2016-03-29T18:44:50Z,QU39,QPHY371,0,Choanoflagellata,Monosiga marina,105643,Monosiga marina,Monosiga marina,hetero,Species,Protozoa,Choanozoa,Choanoflagellatea,Craspedida,Codonosigaceae,Monosiga,NA,NA,NA,1750
2016-03-29,2016-03-29T18:44:50Z,QU39,QPHY371,0,Choanoflagellata,Parvicorbicula socialis,105588,Parvicorbicula socialis,Parvicorbicula socialis,hetero,Species,Protozoa,Choanozoa,Choanoflagellatea,Acanthoecida,Acanthoecidae,Parvicorbicula,NA,NA,NA,7000
2016-03-29,2016-03-29T18:44:50Z,QU39,QPHY371,0,Choanoflagellata,Choanozoa,562870,Choanozoa,Choanozoa,hetero,Phylum,Protozoa,Choanozoa,NA,NA,NA,NA,NA,Indet.,NA,1750
2016-03-29,2016-03-29T18:44:50Z,QU39,QPHY371,0,Ciliophora,Myrionecta rubra,292896,Myronecta rubra,Mesodinium rubrum,hetero,Species,Chromista,Ciliophora,Litostomatea,Cyclotrichiida,Mesodiniidae,Myrionecta,NA,NA,NA,270
2016-03-29,2016-03-29T18:44:50Z,QU39,QPHY371,0,Cryptophyta,Hillea,178565,Hillea,Hillea,auto,Genus,Chromista,Cryptophyta,Cryptophyceae,Cryptomonadales,Hilleaceae,Hillea,NA,sp. Indet.,NA,10500
2016-03-29,2016-03-29T18:44:50Z,QU39,QPHY371,0,Cryptophyta,Teleaulax,106285,Teleaulax,Teleaulax,auto,Genus,Chromista,Cryptophyta,Cryptophyceae,Pyrenomonadales,Geminigeraceae,Teleaulax,NA,spp. Indet.,NA,7000
2016-03-29,2016-03-29T18:44:50Z,QU39,QPHY371,0,Dictyochophyta,Dictyocha speculum,157260,Dictyocha speculum,Octactis speculum,auto,Species,Chromista,Ochrophyta,Dictyochophyceae,Dictyochales,Dictyochaceae,Dictyocha,NA,NA,NA,1243
2016-03-29,2016-03-29T18:44:50Z,QU39,QPHY371,0,Dinoflagellata,Gymnodinium,109475,Gymnodinium,Gymnodinium,auto,Genus,Chromista,Myzozoa,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Gymnodinium,NA,spp. Indet.,NA,54
2016-03-29,2016-03-29T18:44:50Z,QU39,QPHY371,0,Dinoflagellata,Gyrodinium,109476,Gyrodinium,Gyrodinium,auto,Genus,Chromista,Myzozoa,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Gyrodinium,NA,spp. Indet.,NA,207
2016-03-29,2016-03-29T18:44:50Z,QU39,QPHY371,0,Dinoflagellata,Scrippsiella trochoidea,110172,Scrippsiella trochoidea,Scrippsiella acuminata,auto,Species,Chromista,Myzozoa,Dinophyceae,Peridiniales,Peridiniaceae,Scrippsiella,NA,NA,NA,108
2016-03-29,2016-03-29T18:44:50Z,QU39,QPHY371,0,Dinoflagellata,Dinophyceae,19542,Dinophyceae,Dinophyceae,auto,Class,Chromista,Myzozoa,Dinophyceae,NA,NA,NA,NA,Indet.,NA,162
2016-03-29,2016-03-29T18:44:50Z,QU39,QPHY371,0,Unknown_Dinophyceae?,Protozoa,5,Protozoa,Protozoa,auto,Kingdom,Protozoa,NA,NA,NA,NA,NA,NA,Indet.,Cells too small to identify. Showed equatorial groove and could be Dinophyceae,7000
2016-03-29,2016-03-29T18:44:50Z,QU39,QPHY371,0,Unknown_flagellate,Protozoa,5,Protozoa,Protozoa,auto,Kingdom,Protozoa,NA,NA,NA,NA,NA,NA,Indet.,NA,77000
2016-03-29,2016-03-29T18:44:50Z,QU39,QPHY371,0,Bacillariophyta,Pennales,1304629,Pennales,Pennales,auto,Order,Chromista,Ochrophyta,Bacillariophyceae,Pennales,NA,NA,NA,Indet.,NA,5446
2016-03-29,2016-03-29T18:44:50Z,QU39,QPHY371,0,Bacillariophyta,Skeletonema marinoi,376667,Skeletonema marinoi,Skeletonema marinoi,auto,Species,Chromista,Ochrophyta,Bacillariophyceae,Thalassiosirales,Skeletonemaceae,Skeletonema,NA,NA,NA,10500
2016-03-29,2016-03-29T18:44:50Z,QU39,QPHY371,0,Bacillariophyta,Chaetoceros,148985,Cheatoceros,Chaetoceros,auto,Genus,Chromista,Ochrophyta,Bacillariophyceae,Chaetocerotanae incertae sedis,Chaetocerotaceae,Chaetoceros,NA,spp. Indet.,NA,13426
