orig_name,scientificName_accepted,rank,kingdom,phylum,class,order,family,genus,lifeStage,taxonRemark,identificationQualifier,2018-01-03,2018-01-09,2018-01-22,2018-01-31,2018-02-06,2018-02-13,2018-02-19,2018-02-27,2018-03-06,2018-03-13,2018-03-20,2018-03-27,2018-04-12,2018-04-17,2018-04-24,2018-05-02,2018-05-08,2018-05-15,2018-05-22,2018-05-29,2018-06-05,2018-06-11,2018-06-18,2018-06-26,2018-07-11,2018-07-16,2018-07-23,2018-07-31,2018-08-09,2018-08-14,2018-08-21,2018-08-29,2018-09-04,2018-09-13,2018-09-18,2018-09-25,2018-10-04,2018-10-09,2018-10-16,2018-10-24,2018-10-30,2018-11-19,2018-11-28,2018-11-07,2018-11-16,2018-12-04
Scrippsiella trochoidea,Scrippsiella acuminata,Species,Chromista,Myzozoa,Dinophyceae,Peridiniales,Peridiniaceae,Scrippsiella,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,160,NA,NA,NA,NA,NA,222,NA,1110,1152,240,1184,200,1520,NA,40,702,40,144,NA,80,NA,1000,144,40,40,NA,222,NA,NA,62,NA,NA,NA,NA,NA,NA
Chaetoceros decipiens,Chaetoceros decipiens,Species,Chromista,Ochrophyta,Bacillariophyceae,Chaetocerotanae incertae sedis,Chaetocerotaceae,Chaetoceros,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,560,11144,NA,NA,NA,NA,370,NA,777,NA,NA,NA,NA,NA,NA,NA,810,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2220,4030,1200,NA,NA,NA,NA,NA
Grammatophora ,Grammatophora,Genus,Chromista,Ochrophyta,Bacillariophyceae,Striatellales,Striatellaceae,Grammatophora,NA,NA,spp.,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40
Chrysochromulina ,Chrysochromulina,Genus,Chromista,Haptophyta,Prymnesiophyceae,Prymnesiales,Chrysochromulinaceae,Chrysochromulina,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chaetoceros ceratosporus,Chaetoceros ceratosporus,Species,Chromista,Ochrophyta,Bacillariophyceae,Chaetocerotanae incertae sedis,Chaetocerotaceae,Chaetoceros,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,796,1700,NA,108,NA,NA,NA,NA,2333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chaetoceros cinctus,Chaetoceros cinctus,Species,Chromista,Ochrophyta,Bacillariophyceae,Chaetocerotanae incertae sedis,Chaetocerotaceae,Chaetoceros,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19104,10101,26400,2538,NA,NA,NA,NA,3312,NA,NA,NA,NA,NA,NA,3348,NA,5904,410,NA,NA,800,7920,NA,NA,1110,NA,NA,111,2914,432,NA,NA,NA,NA,80
Chaetoceros diadema,Syndendrium diadema,Species,Chromista,Ochrophyta,Bacillariophyceae,Chaetocerotanae incertae sedis,Chaetocerotaceae,Chaetoceros,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6368,NA,1200,NA,NA,NA,111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,144,NA,NA,NA,NA,NA,NA,1054,NA,NA,NA,NA,NA,NA
Chaetoceros didymus,Chaetoceros didymus,Species,Chromista,Ochrophyta,Bacillariophyceae,Chaetocerotanae incertae sedis,Chaetocerotaceae,Chaetoceros,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,796,6771,300,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1550,384,NA,NA,NA,NA,NA
Chaetoceros laciniosus,Chaetoceros laciniosus,Species,Chromista,Ochrophyta,Bacillariophyceae,Chaetocerotanae incertae sedis,Chaetocerotaceae,Chaetoceros,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3980,1332,NA,1242,NA,NA,333,555,NA,NA,NA,NA,NA,NA,NA,864,1040,1872,656,NA,NA,6400,22608,NA,NA,1924,518,NA,16539,4278,624,80,NA,120,NA,NA
Chaetoceros radicans,Chaetoceros radicans,Species,Chromista,Ochrophyta,Bacillariophyceae,Chaetocerotanae incertae sedis,Chaetocerotaceae,Chaetoceros,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20696,3330,36600,3294,NA,NA,NA,111,NA,NA,NA,NA,NA,NA,NA,NA,760,432,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,682,144,NA,NA,NA,NA,NA
