Louis_class,Louis_name,status,unacceptreason,scientificName_accepted,rank,kingdom,phylum,class,order,family,genus,lifeStage,taxonRemark,identificationQualifier
Bacillariophyta,Chaetoceros concavicornis,accepted,NA,Chaetoceros concavicornis,Species,Chromista,Ochrophyta,Bacillariophyceae,Chaetocerotanae incertae sedis,Chaetocerotaceae,Chaetoceros,NA,NA,NA
Bacillariophyta,Chaetoceros convolutus,accepted,NA,Chaetoceros convolutus,Species,Chromista,Ochrophyta,Bacillariophyceae,Chaetocerotanae incertae sedis,Chaetocerotaceae,Chaetoceros,NA,NA,NA
Bacillariophyta,Chaetoceros danicus,uncertain,unassessed,Chaetoceros danicus,Species,Chromista,Ochrophyta,Bacillariophyceae,Chaetocerotanae incertae sedis,Chaetocerotaceae,Chaetoceros,NA,NA,NA
Bacillariophyta,Chaetoceros debilis ,accepted,NA,Chaetoceros debilis,Species,Chromista,Ochrophyta,Bacillariophyceae,Chaetocerotanae incertae sedis,Chaetocerotaceae,Chaetoceros,resting spore,NA,NA
Bacillariophyta,Chaetoceros decipiens,accepted,NA,Chaetoceros decipiens,Species,Chromista,Ochrophyta,Bacillariophyceae,Chaetocerotanae incertae sedis,Chaetocerotaceae,Chaetoceros,NA,NA,NA
Bacillariophyta,Chaetoceros diadema,alternate representation,NA,Syndendrium diadema,Species,Chromista,Ochrophyta,Bacillariophyceae,Chaetocerotanae incertae sedis,Chaetocerotaceae,Chaetoceros,NA,NA,NA
Bacillariophyta,Chaetoceros diadema ,alternate representation,NA,Syndendrium diadema,Species,Chromista,Ochrophyta,Bacillariophyceae,Chaetocerotanae incertae sedis,Chaetocerotaceae,Chaetoceros,resting spore,NA,NA
Bacillariophyta,Chaetoceros didymus,accepted,NA,Chaetoceros didymus,Species,Chromista,Ochrophyta,Bacillariophyceae,Chaetocerotanae incertae sedis,Chaetocerotaceae,Chaetoceros,NA,NA,NA
Bacillariophyta,Chaetoceros laciniosus,accepted,NA,Chaetoceros laciniosus,Species,Chromista,Ochrophyta,Bacillariophyceae,Chaetocerotanae incertae sedis,Chaetocerotaceae,Chaetoceros,NA,NA,NA
Bacillariophyta,Chaetoceros laciniosus ,accepted,NA,Chaetoceros laciniosus,Species,Chromista,Ochrophyta,Bacillariophyceae,Chaetocerotanae incertae sedis,Chaetocerotaceae,Chaetoceros,resting spore,NA,NA
Bacillariophyta,Chaetoceros mitra ,alternate representation,NA,Dicladia mitra,Species,Chromista,Ochrophyta,Bacillariophyceae,Chaetocerotanae incertae sedis,Chaetocerotaceae,Chaetoceros,resting spore,NA,NA
Bacillariophyta,Chaetoceros radicans,uncertain,unassessed,Chaetoceros radicans,Species,Chromista,Ochrophyta,Bacillariophyceae,Chaetocerotanae incertae sedis,Chaetocerotaceae,Chaetoceros,NA,NA,NA
Bacillariophyta,Chaetoceros seiracanthus,uncertain,unassessed,Chaetoceros seiracanthus,Species,Chromista,Ochrophyta,Bacillariophyceae,Chaetocerotanae incertae sedis,Chaetocerotaceae,Chaetoceros,NA,NA,NA
Bacillariophyta,Chaetoceros seiracanthus ,uncertain,unassessed,Chaetoceros seiracanthus,Species,Chromista,Ochrophyta,Bacillariophyceae,Chaetocerotanae incertae sedis,Chaetocerotaceae,Chaetoceros,resting spore,NA,NA
Bacillariophyta,Chaetoceros similis,accepted,NA,Chaetoceros similis,Species,Chromista,Ochrophyta,Bacillariophyceae,Chaetocerotanae incertae sedis,Chaetocerotaceae,Chaetoceros,NA,NA,NA
Bacillariophyta,Chaetoceros simplex,accepted,NA,Chaetoceros simplex,Species,Chromista,Ochrophyta,Bacillariophyceae,Chaetocerotanae incertae sedis,Chaetocerotaceae,Chaetoceros,NA,NA,NA
Bacillariophyta,Chaetoceros socialis,accepted,NA,Chaetoceros socialis,Species,Chromista,Ochrophyta,Bacillariophyceae,Chaetocerotanae incertae sedis,Chaetocerotaceae,Chaetoceros,NA,NA,NA
Bacillariophyta,Chaetoceros subtilis,accepted,NA,Chaetoceros subtilis,Species,Chromista,Ochrophyta,Bacillariophyceae,Chaetocerotanae incertae sedis,Chaetocerotaceae,Chaetoceros,NA,NA,NA
Bacillariophyta,Chaetoceros tenuissimus,accepted,NA,Chaetoceros tenuissimus,Species,Chromista,Ochrophyta,Bacillariophyceae,Chaetocerotanae incertae sedis,Chaetocerotaceae,Chaetoceros,NA,NA,NA
Bacillariophyta,Chetoceros debilis,accepted,NA,Chaetoceros debilis,Species,Chromista,Ochrophyta,Bacillariophyceae,Chaetocerotanae incertae sedis,Chaetocerotaceae,Chaetoceros,NA,NA,NA
Bacillariophyta,Cocconeis ,accepted,NA,Cocconeis,Genus,Chromista,Ochrophyta,Bacillariophyceae,Achnanthales,Cocconeidaceae,Cocconeis,NA,NA,spp.
Bacillariophyta,Corethron criophillum,uncertain,unassessed,Corethron criophilum,Species,Chromista,Ochrophyta,Bacillariophyceae,Corethrales,Corethraceae,Corethron,NA,NA,NA
Bacillariophyta,Coscinodiscus ,accepted,NA,Coscinodiscus,Genus,Chromista,Ochrophyta,Bacillariophyceae,Coscinodiscales,Coscinodiscaceae,Coscinodiscus,NA,NA,spp.
Bacillariophyta,Cylindrotheca closterium,accepted,NA,Cylindrotheca closterium,Species,Chromista,Ochrophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Cylindrotheca,NA,NA,NA
Bacillariophyta,Dactyliosolen fragilissimus,alternate representation,NA,Rhizosolenia fragilissima f. fragilissima,Species,Chromista,Ochrophyta,Bacillariophyceae,Rhizosoleniales,Rhizosoleniaceae,Dactyliosolen,NA,NA,NA
Bacillariophyta,Dactyliosolen phuketensis,alternate representation,NA,Rhizosolenia phuketensis,Species,Chromista,Ochrophyta,Bacillariophyceae,Rhizosoleniales,Rhizosoleniaceae,Dactyliosolen,NA,NA,NA
Bacillariophyta,Detonula pumila,alternate representation,NA,Lauderia pumila,Species,Chromista,Ochrophyta,Bacillariophyceae,Thalassiosirales,Skeletonemaceae,Detonula,NA,NA,NA
Bacillariophyta,Ditylum brightwellii,uncertain,unassessed,Ditylum brightwellii,Species,Chromista,Ochrophyta,Bacillariophyceae,Lithodesmiales,Lithodesmiaceae,Ditylum,NA,NA,NA
Bacillariophyta,Ditylum brightwellii ,uncertain,unassessed,Ditylum brightwellii,Species,Chromista,Ochrophyta,Bacillariophyceae,Lithodesmiales,Lithodesmiaceae,Ditylum,resting spore,NA,NA
Bacillariophyta,Eucampia groenlandica,uncertain,unassessed,Eucampia groenlandica,Species,Chromista,Ochrophyta,Bacillariophyceae,Hemiaulales,Hemiaulaceae,Eucampia,NA,NA,NA
Bacillariophyta,Eucampia zodiacus,uncertain,unassessed,Eucampia zodiacus,Species,Chromista,Ochrophyta,Bacillariophyceae,Hemiaulales,Hemiaulaceae,Eucampia,NA,NA,NA
Bacillariophyta,Grammatophora ,accepted,NA,Grammatophora,Genus,Chromista,Ochrophyta,Bacillariophyceae,Striatellales,Striatellaceae,Grammatophora,NA,NA,spp.
Bacillariophyta,Guinardia delicatula,alternate representation,NA,Rhizosolenia delicatula,Species,Chromista,Ochrophyta,Bacillariophyceae,Rhizosoleniales,Rhizosoleniaceae,Guinardia,NA,NA,NA
Bacillariophyta,Leptocylindrus danicus,uncertain,unassessed,Leptocylindrus danicus,Species,Chromista,Ochrophyta,Bacillariophyceae,Leptocylindrales,Leptocylindraceae,Leptocylindrus,NA,NA,NA
Bacillariophyta,Licmophora ,accepted,NA,Licmophora,Genus,Chromista,Ochrophyta,Bacillariophyceae,Licmophorales,Licmophoraceae,Licmophora,NA,NA,spp.
Bacillariophyta,Melosira ,accepted,NA,Melosira,Genus,Chromista,Ochrophyta,Bacillariophyceae,Melosirales,Melosiraceae,Melosira,NA,NA,sp.
Bacillariophyta,Membraneis challengeri,alternate representation,NA,Navicula challengeri,Species,Chromista,Ochrophyta,Bacillariophyceae,Naviculales,Naviculaceae,Membraneis,NA,NA,NA
Bacillariophyta,Navicula ,accepted,NA,Navicula,Genus,Chromista,Ochrophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula,NA,NA,sp.
Bacillariophyta,Odontella longicruris,alternate representation,NA,Hobaniella longicruris,Species,Chromista,Ochrophyta,Bacillariophyceae,Triceratiales,Triceratiaceae,Odontella,NA,NA,NA
Bacillariophyta,Paralia sulcata,accepted,NA,Paralia sulcata,Species,Chromista,Ochrophyta,Bacillariophyceae,Paraliales,Paraliaceae,Paralia,NA,NA,NA
Bacillariophyta,Pennales,accepted,NA,Pennales,Order,Chromista,Ochrophyta,Bacillariophyceae,Pennales,NA,NA,NA,NA,NA
Bacillariophyta,Pleurosigma ,accepted,NA,Pleurosigma,Genus,Chromista,Ochrophyta,Bacillariophyceae,Naviculales,Pleurosigmataceae,Pleurosigma,NA,NA,spp.
Bacillariophyta,Pseudo-nitzschia delicatissima,accepted,NA,Pseudo-nitzschia delicatissima,Species,Chromista,Ochrophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Pseudo-nitzschia,NA,NA,NA
Bacillariophyta,Pseudo-nitzschia multiseries,accepted,NA,Pseudo-nitzschia multiseries,Species,Chromista,Ochrophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Pseudo-nitzschia,NA,NA,NA
Bacillariophyta,Pseudo-nitzschia seriata,accepted,NA,Pseudo-nitzschia seriata,Species,Chromista,Ochrophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Pseudo-nitzschia,NA,NA,NA
Bacillariophyta,Rhizosolenia setigera,accepted,NA,Rhizosolenia setigera,Species,Chromista,Ochrophyta,Bacillariophyceae,Rhizosoleniales,Rhizosoleniaceae,Rhizosolenia,NA,NA,NA
Bacillariophyta,Skeletonema marinoi,uncertain,unassessed,Skeletonema marinoi,Species,Chromista,Ochrophyta,Bacillariophyceae,Thalassiosirales,Skeletonemaceae,Skeletonema,NA,NA,NA
Bacillariophyta,Stephanopyxis nipponica,alternate representation,unassessed,Eupyxidicula nipponica,Species,Chromista,Ochrophyta,Bacillariophyceae,Melosirales,Stephanopyxidaceae,Stephanopyxis,NA,NA,NA
Bacillariophyta,Stephanopyxis turris,accepted,NA,Stephanopyxis turris,Species,Chromista,Ochrophyta,Bacillariophyceae,Melosirales,Stephanopyxidaceae,Stephanopyxis,NA,NA,NA
Bacillariophyta,Striatella unipunctata,alternate representation,NA,Fragilaria unipunctata,Species,Chromista,Ochrophyta,Bacillariophyceae,Striatellales,Striatellaceae,Striatella,NA,NA,NA
Bacillariophyta,Thalassionema nitzschioides,alternate representation,NA,Synedra nitzschioides f. nitzschioides,Species,Chromista,Ochrophyta,Bacillariophyceae,Thalassionematales,Thalassionemataceae,Thalassionema,NA,NA,NA
Bacillariophyta,Thalassiosira ,accepted,NA,Thalassiosira,Genus,Chromista,Ochrophyta,Bacillariophyceae,Thalassiosirales,Thalassiosiraceae,Thalassiosira,NA,NA,spp.
Bacillariophyta,Thalassiosira  ,accepted,NA,Thalassiosira,Genus,Chromista,Ochrophyta,Bacillariophyceae,Thalassiosirales,Thalassiosiraceae,Thalassiosira,Auxospores,NA,sp.
Bacillariophyta,Thalassiosira anguste-lineata,alternate representation,NA,Coscinodiscus angustelineatus,Species,Chromista,Ochrophyta,Bacillariophyceae,Thalassiosirales,Thalassiosiraceae,Thalassiosira,NA,NA,NA
Bacillariophyta,Thalassiosira nordenskioeldii,accepted,NA,Thalassiosira nordenskioeldii,Species,Chromista,Ochrophyta,Bacillariophyceae,Thalassiosirales,Thalassiosiraceae,Thalassiosira,NA,NA,NA
Bacillariophyta,Thalassiosira pacifica,uncertain,unassessed,Thalassiosira pacifica,Species,Chromista,Ochrophyta,Bacillariophyceae,Thalassiosirales,Thalassiosiraceae,Thalassiosira,NA,NA,NA
Bacillariophyta,Thalassiosira rotula,uncertain,unassessed,Thalassiosira rotula,Species,Chromista,Ochrophyta,Bacillariophyceae,Thalassiosirales,Thalassiosiraceae,Thalassiosira,NA,NA,NA
Chlorophyta,Pterosperma,accepted,NA,Pterosperma,Genus,Plantae,Chlorophyta,Prasinophyceae,Halosphaerales,Pterospermataceae,Pterosperma,resting spore,NA,spp.
Chlorophyta,Pterosperma ,accepted,NA,Pterosperma,Genus,Plantae,Chlorophyta,Prasinophyceae,Halosphaerales,Pterospermataceae,Pterosperma,NA,NA,spp.
Chlorophyta,Pyramimonas grossii,alternate representation,NA,Pyramimonas subg. Trichocystis grossii,Species,Plantae,Chlorophyta,Pyramimonadophyceae,Pyramimonadales,Pyramimonadaceae,Pyramimonas,NA,NA,NA
Chlorophyta,Pyramimonas orientalis,accepted,NA,Pyramimonas orientalis,Species,Plantae,Chlorophyta,Pyramimonadophyceae,Pyramimonadales,Pyramimonadaceae,Pyramimonas,NA,NA,NA
Chlorophyta,Tetraselmis gracilis,accepted,NA,Tetraselmis gracilis,Species,Plantae,Chlorophyta,Chlorodendrophyceae,Chlorodendrales,Chlorodendraceae,Tetraselmis,NA,NA,NA
Choanoflagellata,Calliacantha natans,accepted,NA,Calliacantha natans,Species,Protozoa,Choanozoa,Choanoflagellatea,Acanthoecida,Acanthoecidae,Calliacantha,NA,NA,NA
Choanoflagellata,Choanozoa,accepted,NA,Choanozoa,Phylum,Protozoa,Choanozoa,NA,NA,NA,NA,NA,NA,NA
Choanoflagellata,Monosiga marina,accepted,NA,Monosiga marina,Species,Protozoa,Choanozoa,Choanoflagellatea,Craspedida,Codonosigaceae,Monosiga,NA,NA,NA
Choanoflagellata,Parvicorbicula socialis,accepted,NA,Parvicorbicula socialis,Species,Protozoa,Choanozoa,Choanoflagellatea,Acanthoecida,Acanthoecidae,Parvicorbicula,NA,NA,NA
Chrysophyta,Chrysophyceae,accepted,NA,Chrysophyceae,Class,Chromista,Ochrophyta,Chrysophyceae,NA,NA,NA,NA,NA,NA
Chrysophyta,Dinobryon ,accepted,NA,Dinobryon,Genus,Chromista,Ochrophyta,Chrysophyceae,Chromulinales,Dinobryaceae,Dinobryon,NA,NA,spp.
Chrysophyta,Meringosphaerae mediterranea,accepted,NA,Meringosphaera mediterranea,Species,Chromista,Ochrophyta,Xanthophyceae,Mischococcales,Pleurochloridaceae,Meringosphaera,NA,NA,NA
Ciliophora,Myronecta rubra,unaccepted,junior synonym,Mesodinium rubrum,Species,Chromista,Ciliophora,Litostomatea,Cyclotrichiida,Mesodiniidae,Myrionecta,NA,NA,NA
Ciliophora,Oligotrichea,accepted,NA,Oligotrichea,Class,Chromista,Ciliophora,Oligotrichea,NA,NA,NA,NA,NA,NA
Ciliophora,Tintinnina,accepted,NA,Tintinnina,Suborder,Chromista,Ciliophora,Oligotrichea,Choreotrichida,NA,NA,NA,NA,NA
Cryptophyta,Hillea ,accepted,NA,Hillea,Genus,Chromista,Cryptophyta,Cryptophyceae,Cryptomonadales,Hilleaceae,Hillea,NA,NA,sp.
Cryptophyta,Teleaulax ,accepted,NA,Teleaulax,Genus,Chromista,Cryptophyta,Cryptophyceae,Pyrenomonadales,Geminigeraceae,Teleaulax,NA,NA,spp.
Cryptophyta,Teleaulax acuta,accepted,NA,Teleaulax acuta,Species,Chromista,Cryptophyta,Cryptophyceae,Pyrenomonadales,Geminigeraceae,Teleaulax,NA,NA,NA
Cryptophyta,Teleaulax amphioxiae,accepted,NA,Teleaulax amphioxeia,Species,Chromista,Cryptophyta,Cryptophyceae,Pyrenomonadales,Geminigeraceae,Teleaulax,NA,NA,NA
Cyanobacteria,Cyanobacteria ,accepted,NA,Cyanobacteria,Phylum,Bacteria,Cyanobacteria,NA,NA,NA,NA,NA,NA,NA
Dictyophyta,Apedinella spinifera,unaccepted,synonym,Apedinella radians,Species,Chromista,Ochrophyta,Dictyochophyceae,Pedinellales,Pedinellaceae,Apedinella,NA,NA,NA
Dictyophyta,Ciliophrys infusionum,accepted,NA,Ciliophrys infusionum,Species,Chromista,Ochrophyta,Dictyochophyceae,Pedinellales,Pedinellaceae,Ciliophrys,NA,NA,NA
Dictyophyta,Dictyocha ,accepted,NA,Dictyocha,Genus,Chromista,Ochrophyta,Dictyochophyceae,Dictyochales,Dictyochaceae,Dictyocha,spores,NA,NA
Dictyophyta,Dictyocha fibula,accepted,NA,Dictyocha fibula,Species,Chromista,Ochrophyta,Dictyochophyceae,Dictyochales,Dictyochaceae,Dictyocha,NA,NA,NA
Dictyophyta,Dictyocha speculum,unaccepted,NA,Octactis speculum,Species,Chromista,Ochrophyta,Dictyochophyceae,Dictyochales,Dictyochaceae,Dictyocha,NA,NA,NA
Dictyophyta,Octactis octonaria,accepted,NA,Octactis octonaria,Species,Chromista,Ochrophyta,Dictyochophyceae,Dictyochales,Dictyochaceae,Octactis,NA,NA,NA
Dinoflagellata,Alexandrium catenella,accepted,NA,Alexandrium catenella,Species,Chromista,Myzozoa,Dinophyceae,Gonyaulacales,Ostreopsidaceae,Alexandrium,NA,NA,NA
Dinoflagellata,Ceratium ,accepted,NA,Ceratium,Genus,Chromista,Myzozoa,Dinophyceae,Gonyaulacales,Ceratiaceae,Ceratium,NA,NA,spp.
Dinoflagellata,Ceratium fusus,unaccepted,NA,Tripos fusus,Species,Chromista,Myzozoa,Dinophyceae,Gonyaulacales,Ceratiaceae,Ceratium,NA,NA,NA
Dinoflagellata,Ceratium horridum,unaccepted,NA,Tripos horridus,Species,Chromista,Myzozoa,Dinophyceae,Gonyaulacales,Ceratiaceae,Ceratium,NA,NA,NA
Dinoflagellata,Ceratium lineatum,unaccepted,NA,Tripos lineatus,Species,Chromista,Myzozoa,Dinophyceae,Gonyaulacales,Ceratiaceae,Ceratium,NA,NA,NA
Dinoflagellata,Dinophyceae,accepted,NA,Dinophyceae,Class,Chromista,Myzozoa,Dinophyceae,NA,NA,NA,NA,NA,NA
Dinoflagellata,Dinophyceae ,accepted,NA,Dinophyceae,Class,Chromista,Myzozoa,Dinophyceae,NA,NA,NA,resting spore,NA,NA
Dinoflagellata,Dinophysis ,accepted,NA,Dinophysis,Genus,Chromista,Myzozoa,Dinophyceae,Dinophysiales,Dinophysaceae,Dinophysis,NA,NA,sp.
Dinoflagellata,Dinophysis acuminata,accepted,NA,Dinophysis acuminata,Species,Chromista,Myzozoa,Dinophyceae,Dinophysiales,Dinophysaceae,Dinophysis,NA,NA,NA
Dinoflagellata,Dinophysis acuta,accepted,NA,Dinophysis acuta,Species,Chromista,Myzozoa,Dinophyceae,Dinophysiales,Dinophysaceae,Dinophysis,NA,NA,NA
Dinoflagellata,Dinophysis fortii,accepted,NA,Dinophysis fortii,Species,Chromista,Myzozoa,Dinophyceae,Dinophysiales,Dinophysaceae,Dinophysis,NA,NA,NA
Dinoflagellata,Dinophysis rotundata,unaccepted,synonym,Phalacroma rotundatum,Species,Chromista,Myzozoa,Dinophyceae,Dinophysiales,Dinophysaceae,Dinophysis,NA,NA,NA
Dinoflagellata,Gonyaulax ,accepted,NA,Gonyaulax,Genus,Chromista,Myzozoa,Dinophyceae,Gonyaulacales,Gonyaulacaceae,Gonyaulax,NA,NA,spp.
Dinoflagellata,Gymnodinium ,accepted,NA,Gymnodinium,Genus,Chromista,Myzozoa,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Gymnodinium,NA,NA,spp.
Dinoflagellata,Gyrodinium ,accepted,NA,Gyrodinium,Genus,Chromista,Myzozoa,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Gyrodinium,NA,NA,spp.
Dinoflagellata,Katodinium ,accepted,NA,Katodinium,Genus,Chromista,Myzozoa,Dinophyceae,Tovelliales,Tovelliaceae,Katodinium,NA,NA,spp.
Dinoflagellata,Katodinium glaucum,unaccepted,NA,Lebouridinium glaucum,Species,Chromista,Myzozoa,Dinophyceae,Tovelliales,Tovelliaceae,Katodinium,NA,NA,NA
Dinoflagellata,Noctiluca scintillans,accepted,NA,Noctiluca scintillans,Species,Chromista,Myzozoa,Dinophyceae,Noctilucales,Noctilucaceae,Noctiluca,NA,NA,NA
Dinoflagellata,Oxyphysis oxytoxoides,unaccepted,synonym,Phalacroma oxytoxoides,Species,Chromista,Myzozoa,Dinophyceae,Dinophysiales,Dinophysaceae,Oxyphysis,NA,NA,NA
Dinoflagellata,Prorocentrum ,accepted,NA,Prorocentrum,Genus,Chromista,Myzozoa,Dinophyceae,Prorocentrales,Prorocentraceae,Prorocentrum,NA,NA,spp.
Dinoflagellata,Prorocentrum gracilis,accepted,NA,Prorocentrum gracile,Species,Chromista,Myzozoa,Dinophyceae,Prorocentrales,Prorocentraceae,Prorocentrum,NA,NA,NA
Dinoflagellata,Prorocentrum micans,accepted,NA,Prorocentrum micans,Species,Chromista,Myzozoa,Dinophyceae,Prorocentrales,Prorocentraceae,Prorocentrum,NA,NA,NA
Dinoflagellata,Protoperidinium ,accepted,NA,Protoperidinium,Genus,Chromista,Myzozoa,Dinophyceae,Peridiniales,Protoperidiniaceae,Protoperidinium,NA,NA,spp.
Dinoflagellata,Protoperidinium conicum,accepted,NA,Protoperidinium conicum,Species,Chromista,Myzozoa,Dinophyceae,Peridiniales,Protoperidiniaceae,Protoperidinium,NA,NA,NA
Dinoflagellata,Protoperidinium depressun,accepted,NA,Protoperidinium depressum,Species,Chromista,Myzozoa,Dinophyceae,Peridiniales,Protoperidiniaceae,Protoperidinium,NA,NA,NA
Dinoflagellata,Protoperidinium leonis,accepted,NA,Protoperidinium leonis,Species,Chromista,Myzozoa,Dinophyceae,Peridiniales,Protoperidiniaceae,Protoperidinium,NA,NA,NA
Dinoflagellata,Protoperidinium oblongum,accepted,NA,Protoperidinium oblongum,Species,Chromista,Myzozoa,Dinophyceae,Peridiniales,Protoperidiniaceae,Protoperidinium,NA,NA,NA
Dinoflagellata,Protoperidinium steinii,accepted,NA,Protoperidinium steinii,Species,Chromista,Myzozoa,Dinophyceae,Peridiniales,Protoperidiniaceae,Protoperidinium,NA,NA,NA
Dinoflagellata,Scrippsiella precarea,accepted,NA,Scrippsiella precaria,Species,Chromista,Myzozoa,Dinophyceae,Peridiniales,Peridiniaceae,Scrippsiella,NA,NA,NA
Dinoflagellata,Scrippsiella trochoidea,unaccepted,NA,Scrippsiella acuminata,Species,Chromista,Myzozoa,Dinophyceae,Peridiniales,Peridiniaceae,Scrippsiella,NA,NA,NA
Ebriidea,Ebria tripartita,accepted,NA,Ebria tripartita,Species,Protozoa,NA,Ebriophyceae,Ebriales,Ebriaceae,Ebria,NA,NA,NA
Euglenophyta,Euglenozoa,accepted,NA,Euglenozoa,Phylum,Protozoa,Euglenozoa,NA,NA,NA,NA,NA,NA,NA
Euglenophyta,Eutriptiella hirudoidea,accepted,NA,Eutreptiella hirudoidea,Species,Protozoa,Euglenozoa,Euglenoidea,Eutreptiida,Eutreptiaceae,Eutreptiella,NA,NA,NA
Haptophyta,Chrysochromulina ,accepted,NA,Chrysochromulina,Genus,Chromista,Haptophyta,Prymnesiophyceae,Prymnesiales,Chrysochromulinaceae,Chrysochromulina,NA,NA,spp.
Haptophyta,Chrysochromulina hirta,unaccepted,synonym,Haptolina hirta,Species,Chromista,Haptophyta,Prymnesiophyceae,Prymnesiales,Chrysochromulinaceae,Chrysochromulina,NA,NA,NA
Haptophyta,Phaeocystis pouchetii,accepted,NA,Phaeocystis pouchetii,Species,Chromista,Haptophyta,Prymnesiophyceae,Phaeocystales,Phaeocystaceae,Phaeocystis,NA,NA,NA
Kinetoplastidea,Kinetoplastea,accepted,NA,Kinetoplastea,Class,Protozoa,Euglenozoa,Kinetoplastea,NA,NA,NA,NA,NA,NA
Kinetoplastidea,Metromonas simplex,accepted,NA,Metromonas simplex,Species,Chromista,Cercozoa,Metromonadea,Metromonadea incertae sedis,NA,Metromonas,NA,NA,NA
Kinetoplastidea,Pseudobodo tremulans,accepted,NA,Pseudobodo tremulans,Species,Chromista,Bigyra,Bicoecea,Bicoecida,Cafeteriaceae,Pseudobodo,NA,NA,NA
Kinetoplastidea,Telonema subtilis,unaccepted,Spelling variation,Telonema subtile,Species,Chromista,Cryptophyta,Telonemea,Telonemida,NA,Telonema,NA,NA,NA
Metazoa,Appendicularia,accepted,NA,Appendicularia,Genus,Animalia,Chordata,Appendicularia,Copelata,Fritillariidae,Appendicularia,NA,NA,NA
Metazoa,copepoda ,accepted,NA,Copepoda,Subclass,Animalia,Arthropoda,Hexanauplia,NA,NA,NA,nauplii,NA,NA
Metazoa,copepoda ,accepted,NA,Copepoda,Subclass,Animalia,Arthropoda,Hexanauplia,NA,NA,NA,copepodites,NA,NA
Raphidiophyta,Heterosigma akashiwo,accepted,NA,Heterosigma akashiwo,Species,Chromista,Ochrophyta,Raphidophyceae,Chattonellales,Chattonellaceae,Heterosigma,NA,NA,NA
Unknown,Protozoa,accepted,NA,Protozoa,Kingdom,Protozoa,NA,NA,NA,NA,NA,NA,NA,NA
Unknown,Protozoa ,accepted,NA,Protozoa,Kingdom,Protozoa,NA,NA,NA,NA,NA,NA,alpha-starch,Chlorophyta?
Unknown,Protozoa ,accepted,NA,Protozoa,Kingdom,Protozoa,NA,NA,NA,NA,NA,NA,equatorial groove,Dinophyceae?
