,QPHY1227,QPHY1232,QPHY1237,QPHY1242,QPHY1247,QPHY1257,QPHY1252,QPHY1263,QPHY1259,QPHY1267,QPHY630
Unidentified pennate forms,360,560,200,600,520,320,840,480,3108,324,160
Unidentified very small pennate forms,,5250,11667,,3500,3182,5833,5000,,,
Unknown forms,,,40,,,,,,,,
Total Cells/L,1840,7890,27054,4230,23148,23531,36414,13320,2924830,39810,1640
,,,,,,,,,,,
Chlorophyta,,,,,,,,,,,
Chlamydomonas spp.,,,,,,,,,,,
Oltmannsiella sp.,,,,,,,,,,,
Pterosperma spp.,,1750,3889,3500,,9545,11667,,14000,7000,
Pterosperma spp. resting stages,,,,,,,,,,,
Pyramimonas grossii,9545,,3889,5250,17500,,5833,,,3500,
Pyramimonas orientalis,38184,,19445,7000,56000,3182,52497,,,17500,
Pyramimonas spp.,,,,,,6364,,10000,,,
Tetraselmis gracilis,,,,,,,,,,,
Unknown species,89096,14000,147782,28000,84000,120916,192489,195000,119000,171500,1750
,,,,,,,,,,,
,,,,,,,,,,,
Choanoflagellata,,,,,,,,,,,
Bicosta minor,,,,,,,,,,,
Calliacantha natans,,,,,,,,,,7000,
Monosiga marina,,,,,,3182,,5000,56000,,
Parvicorbicula socialis,,,,,,,,,,3500,
Unknown species,12728,,19445,10500,3500,38184,52497,25000,336000,38500,7000
,,,,,,,,,,,
,,,,,,,,,,,
Chrysophyta,,,,,,,,,,,
Apidinella spinifera,,,,1750,7000,6364,,,7000,28000,
Dinobryon spp.,,,,,,,,,,,
Ochromonas spp.,,,,1750,,,17499,,,,
Unknown species,,,,,,,,,,,
,,,,,,,,,,,
Ciliophora,,,,,,,,,,,
Elongate form,,,160,40,,,,80,,,
Myronecta rubra,1480,680,360,320,1320,280,520,1000,333,1296,120
Oligotricious forms (medium),1760,1160,1400,680,1840,1600,1320,3680,1332,2376,760
Oligotricious forms (large),,,40,,40,40,40,80,,216,
Oligotricious forms (small),640,1280,1880,1040,2280,3080,2360,3920,1110,3024,600
Tintinnid forms,40,,,40,,,80,40,444,,
,,,,,,,,,,,
,,,,,,,,,,,
Cryptophyta,,,,,,,,,,,
Hillea sp.,124098,7000,198339,71750,241500,175010,204155,245000,14000,35000,22750
Teleaulax acuta,9546,,35001,5250,38500,31820,58330,85000,14000,3500,
Teleaulax amphioxiae,6364,,11667,,10500,6364,23332,10000,,,
Teleaulax spp.,89096,,116670,24500,112000,248196,215821,320000,91000,31500,1750
,,,,,,,,,,,
,,,,,,,,,,,
Cyanobacteria ,,,,,,,,,,,
,,,,,,,,,,,
Dictyochophyta,,,,,,,,,,,
Ciliophrys infusionum,,,,40,,,,,,54,
Dictyocha fibula,,,,40,,,,,,,
Dictyocha octonaria,,,,,,,,,,,
Dictyocha speculum,760,200,320,160,760,440,400,720,333,6318,640
Dictyocha spore forms,,,40,,80,80,40,,,162,
Meringosphaerae mediterranea,,,,,,,,,,,
Meringosphaerae spp.,,,,,7000,3182,,,,3500,
Meringosphaerae tenerrima,,,,3500,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Dinoflagellata,,,,,,,,,,,
Alexandrium catenella,,,,,,,,,,,
Amylax triacantha,,,,,,,,,,,
Ceratium divericatum,,,,,,,,,,,
Ceratium lineatum,,,,,,,,,,,
Ceratium fusus,,,,,,,,,,,
Ceratium horridum,,,,,,,,,,,
Ceratium spp.,,,,,,,,,,,
Dinophysis acuminata,,,,,,,,,,,
Dinophysis acuta,,,,,,,,,,54,
Dinophysis fortii,,,,,,,,,,,
Dinophysis rotundata,,,,,,,,,,,
Dinophysis sp.,,,,,,,,,,,
Gonyaulax spp.,,,,,,,,,111,,
Gymnodinium spp.,280,160,480,160,240,280,160,160,1665,432,80
Gyrodinium spp.,160,40,400,200,200,480,560,320,1554,486,120
Katodinium glaucum,,,,,,80,,,,,
Katodinium spp.,,,80,1750,3500,40,120,40,666,216,
Noctiluca scintillans,,,,,,,,,,,
Oxyphysis oxytoxoides,,,,,,,,,,,
Prorocentrum gracilis,,,,,,,,,,,
Prorocentrum micans,,,,,,,,,,,
Prorocentrum spp.,,,,,,,,,,,
Protoperidinium conicum,,,,,,,,,,,
Protoperidinium depressun,,,,,,,,,,,
Protoperidinium leonis,,,,,,,,,,,
Protoperidinium oblongum,,,,,,,,,,,
Protoperidinium spp.,,,,,,,,,,54,
Protoperidinium steinii,,,,,,,,,111,,
Resting stages,,40,,,,,,,444,108,
Scrippsiella precarea,,,,,,,,,222,,
Scrippsiella trochoidea,,,,,,,,,,,
Unknown species,,80,,40,80,80,120,,222,54,80
Unknown very small species (dino??),12728,,3889,3500,3500,6364,5833,,35000,14000,
,,,,,,,,,,,
Ebriidea,,,,,,,,,,,
Ebria tripartita,40,,,,40,80,480,600,4218,3456,
,,,,,,,,,,,
Euglenophyta,,,,,,,,,,,
Eutriptiella hirudoidea,,,,,,,,,,,
Unknown species,120,1750,3889,1750,3500,160,11667,5000,14000,,
,,,,,,,,,,,
Kinetoplastidea,,,,,,,,,,,
Cafeteria minutae,,,,,,,,,,,
Metromonas simplex,,,,1750,,,,,,,
Phyllomitus yorkeensis,,,,,,,,,,,
Pleurostomum gracile,,,,,,,,,,,
Pseudobodo tremulans,,,,,,,,,,,
Telonema subtilis,,,,,,,,,,,
Unknown species,,,,,,,,,,,
,,,,,,,,,,,
Metazoa,,,,,,,,,,,
Appendicularia,,,,,,,,,,,
Copepod nauplii/ekdysis,,,,,,,,40,,,
Copepodids,,,40,,,,,40,,,
Crustacean pieces,,,,,,,,,111,54,
Eggs,,,,,,,,,111,,
Fecal Pellets,,120,80,200,200,200,160,560,222,162,440
Oikopleura ejecta (?),,,,,,40,,,,,
,,,,,,,,,,,
Protozoa,,,,,,,,,,,
Foraminifera,,,,,,,,,,,
Radiolaria,,,,,,40,,,,,
,,,,,,,,,,,
Prymnesiophyta-Haptophyta,,,,,,,,,,,
Chrysochromulina hirta,,,,,,,,,,,
Chrysochromulina spp,,,,,,,,,,,
Phaeocystis pouchetii,,,,,,,,,,,
Phaeocystis pouchetii,,,,,,,,,,14000,
,,,,,,,,,,,
Raphidiophyta,,,,,,,,,,,
Heterosigma akashiwo,,,,,,,,,,,
,,,,,,,,,,,
Unknown flagellae-bearing cells,251378,38500,377233,190750,318500,187738,443308,565000,315000,301000,80500
,,,,,,,,,,,
Unknown cells,80,80,440,160,,,120,160,,216,200
,,,,,,,,,,,
Notes,,,Unknown cells either,,,,,,,,
,,,small gymnodinians or,,,,,,,,
,,,small ciliates lacking,,,,,,,,
,,,cilia,,,,,,,,
