species,,,,QPHY1371,QPHY1445,QPHY1447,QPHY1448,QPHY1449,QPHY1450,QPHY1451,QPHY1454
Pseudo-nitzschia multiseries,,,,,,,,40,80,,80
Pseudo-nitzschia seriata,,,,40,80,,,,,,
Rhizosolenia setigera,,,,,1240,,,,,120,40
Rhizosolenia setigera,,r.s.,,,,,,,,,
S. marinoi (large cells),,,,120,320,,,,,,
S. marinoi (small cells),,,,,,,,800,,,240
S. marinoi auxospores,,,,,,,,,,,
Stephanopyxis nipponica,,,,,,,,,,,
Stephanopyxis turris,,,,,,,,,,,
Tabellaria spp.,,,,,,,80,,,,80
Thalassionema nitzschioides,,,,,80,,40,,120,120,
Thalassiosira anguste-lineata,,,,,,,,,,,
Thalassiosira nordenskioldii,,,,,,,,,,,
Thalassiosira pacifica,,,,,,,,,,,
Thalassiosira rotula,,,,,,,160,,,360,
Thalassiosira spp.,,,,520,320,360,680,240,640,280,
Thalassiosira sp. Auxospore,,,,,,,,,,,
Unidentified centric forms,,,,,,,80,40,,,40
Unidentified very small centric forms,,,,,,1750,1750,,,,
Unidentified pennate forms,,,,120,400,480,1320,200,680,280,520
Unidentified very small pennate forms,,,,,8750,,10500,1750,2333,,3500
Unknown forms,,,,,,,,,,,
Total Cells/L,,,,1120,11790,4150,16090,3870,5573,1400,4980
,,,,,,,,,,,
Chlorophyta-Prasinophyta,,,,,,,,,,,
Oltmannsiella sp.,,,,,,,,,,,
Pterosperma spp.,,,,10500,,,,,,,
Pterosperma spp. resting stages,,,,,,,,,,,
Pyramimonas grossii,,,,10500,,,1750,,4666,1750,1750
Pyramimonas orientalis,,,,17500,,5250,1750,1750,9333,5250,3500
Pyramimonas spp.,,,,3500,,,,,,,
Tetraselmis gracilis,,,,,,,,1750,,,
Unknown species,,,,206500,99178,57750,57750,59500,86321,50750,40250
Total,,,,248500,99178,63000,61250,63000,100320,57750,45500
,,,,,,,,,,,
Choanoflagellata,,,,,,,,,,,
Bicosta minor,,,,,,,,,,,
Calliacantha natans,,,,,,,,,,,
Monosiga marina,,,,3500,,,,,,1750,
Parvicorbicula socialis,,,,3500,,1750,,,,,3500
Unknown species,,,,35000,40838,15750,14000,15750,16331,26250,12250
Total,,,,42000,40838,17500,14000,15750,16331,28000,15750
,,,,,,,,,,,
Chrysophyta,,,,,,,,,,,
Apidinella spinifera,,,,3500,,,,1750,,,
Dinobryon spp.,,,,,,1750,,,,,
Ochromonas spp.,,,,,,1750,,,2333,,1750
Unknown species,,,,,,,,,,,
Total,,,,,,,,,,,
,,,,,,,,,,,
Ciliophora,,,,,,,,,,,
Elongate form,,,,40,40,120,,40,120,160,40
Myronecta rubra,,,,480,200,280,240,640,1600,1320,560
Oligotricious forms (medium),,,,520,1200,1080,760,840,2080,2520,400
Oligotricious forms (large),,,,,40,,,40,40,,40
Oligotricious forms (small),,,,2680,1440,1920,560,800,1120,1000,680
Tintinnid forms,,,,40,40,80,40,80,200,80,80
Total,,,,3760,2960,3480,1600,2440,5160,5080,1800
,,,,,,,,,,,
Cryptophyta,,,,,,,,,,,
Hillea sp.,,,,196000,145850,122500,82250,143500,156311,101500,94500
Teleaulax acuta,,,,3500,2917,7000,,,16331,1750,24500
Teleaulax amphioxiae,,,,,,1750,,,2333,3500,1750
Teleaulax spp.,,,,182000,81676,56000,56000,68250,69990,19250,50750
Total,,,,381500,230443,187250,138250,211750,244965,126000,171500
,,,,,,,,,,,
Cyanobacteria ,,,,,,,,,,,
,,,,,,,,,,,
Dictyochophyta,,,,,,,,,,,
Ciliophrys infusionum,,,,200,,80,,40,80,,
Dictyocha fibula,,,,,,,,,,,
Dictyocha octonaria,,,,,,,,,,,
Dictyocha speculum,,,,400,520,200,480,120,1920,2120,160
Dictyocha spore forms,,,,200,40,40,,80,120,120,40
Meringosphaerae mediterranea,,,,,,,,,,,
Meringosphaerae spp,,,,,,,,,,,
Meringosphaerae tenerrima,,,,,,,,,,,
Total,,,,,,,,240,,,
,,,,,,,,,,,
Dinoflagellata,,,,,,,,,,,
Alexandrium catenella,,,,,,,,,,,
Amylax triacantha,,,,,,,,,,,
Ceratium divericatum,,,,,,,,,,,
Ceratium lineatum,,,,,,,,,,,
Ceratium fusus,,,,,,,,,,,
Ceratium horridum,,,,,,,,,,,
Ceratium spp.,,,,,,,,,,,
Dinophysis acuminata,,,,40,,,,,40,,
Dinophysis acuta,,,,,,,,,80,,
Dinophysis fortii,,,,,,,,40,,,
Dinophysis rotundata,,,,,,,,,,,
Dinophysis sp.,,,,,,,,,,,
Gonyaulax spp.,,,,,,,,,40,,
Gymnodinium spp.,,,,600,360,280,240,120,600,480,320
Gyrodinium spp.,,,,280,160,160,120,80,280,400,120
Katodinium glaucum,,,,,,,,,,,
Katodinium spp.,,,,200,2917,160,1750,,80,1750,
Noctiluca scintillans,,,,,,,,,,,
Oxyphysis oxytoxoides,,,,,,,,,,,
Prorocentrum gracilis,,,,,,,,,,,
Prorocentrum micans,,,,40,,,,,40,,
Prorocentrum spp.,,,,,,,,,,,
Protoperidinium conicum,,,,,,,40,,,,
Protoperidinium depressun,,,,,,,,,,,
Protoperidinium leonis,,,,,,,,,,,
Protoperidinium oblongum,,,,,,,,,,,
Protoperidinium spp.,,,,,,,,,,40,
Protoperidinium steinii,,,,,,,,40,,,
Pyrocystis lunula,,,,,,,,,,,
Resting stages,,,,,,40,,,40,80,
Scrippsiella precarea,,,,40,,,,,,,
Scrippsiella trochoidea,,,,,,,,,,,
Unknown species,,,,,,40,,40,120,,
Unknown very small species (dino??),,,,3500,5834,1750,,1750,9332,3500,3500
,,,,,,,,,,,
Ebriidea,,,,,,,,,,,
Ebria tripartita,,,,160,,,80,,,,
,,,,,,,,,,,
Euglenophyta,,,,,,,,,,,
Eutriptiella hirudoidea,,,,,,,,,,,
Unknown species,,,,80,,,,,,,
,,,,,,,,,,,
Kinetoplastidea,,,,,,,,,,,
Cafeteria minutae,,,,,,,,,,,
Metromonas simplex,,,,,,,,,,1750,
Phyllomitus yorkeensis,,,,,,,,,,,
Pleurostomum gracile,,,,,,,,,,,
Pseudobodo tremulans,,,,,,,,,,,
Telonema subtilis,,,,,,,,,,,
Unknown species,,,,,,,1750,1750,,1750,
,,,,,,,,,,,
Metazoa,,,,,,,,,,,
Appendicularia,,,,40,,,40,,,,
Copepod nauplii/ekdysis,,,,80,40,,40,,40,,
Copepodids,,,,,,40,,40,,,
Crab zoea,,,,,,,,,,,
Crustacean pieces,,,,,,80,,40,,,
Eggs,,,,,,,40,,,,
Fecal Pellets,,,,560,800,480,520,160,160,440,120
Oikopleura ejecta (?),,,,,,,,,,,
,,,,,,,,,,,
Protozoa,,,,,,,,,,,
Foraminifera,,,,,,,,,,,
Radiolaria,,,,,,,,,,,
,,,,,,,,,,,
Prymnesiophyta-Haptophyta,,,,,,,,,,,
Chrysochromulina spp,,,,,,,,,,,
Phaeocystis poucheteii,,non-motile stg,,,,,,,,,
Phaeocystis poucheteii,,,,,,,,,,,
,,,,,,,,,,,
Raphidiophyta,,,,,,,,,,,
Heterosigma akashiwo,,,,,,,,,,,
,,,,,,,,,,,
Unknown very small flagellated species,,,,409500,449218,250250,131250,145250,235633,187250,147000
,,,,,,,,,,,
Unknown very small non-flagellated cells,,,,,,,,,,,
,,,,,,,,,,,
Unknown cells,,,,40,120,,80,,400,160,80
,,,,,,,,,,,
Notes,,,,,,,,,,,
