species,,,,,QPHY1462,QPHY1466,QPHY1471,QPHY1475,QPHY1480,QPHY1483,QPHY1494
Ceratium tripos,,,,,,,,6386,,41,
Corythodinium spp,,,,,,,,864,,,162
Dinophysis acuminata,,,,,,124,74,162,,,216
Dinophysis acuta,,,,,,,,,,,108
Dinophysis fortii,,,,,,62,,,,,54
Dinophysis rotundata,,,,,,,,,,,
Dinophysis sp.,,,,,,,,,,,
Gonyaulax spp.,,,,,89,,74,162,,,54
Gymnodinium spp.,,,,,,496,1332,1026,120,,648
Gyrodinium spp.,,,,,356,744,3108,540,40,82,3889
Katodinium glaucum,,,,,,,,,,,
Katodinium spp.,,,,,89,10000,20419,162,,,54
Noctiluca scintillans,,,,,,,444,54,,,
Oxyphysis oxytoxoides,,,,,,,,,,,
Prorocentrum gracilis,,,,,,,,,,,
Prorocentrum micans,,,,,,,,,,,
Prorocentrum spp.,,,,,,,,,,,
Protoperidinium conicum,,,,,,,,,,,
Protoperidinium depressun,,,,,,,,,,,
Protoperidinium leonis,,,,,,,,,,,
Protoperidinium oblongum,,,,,,,,,,,
Protoperidinium spp.,,,,,89,,148,,,,
Protoperidinium steinii,,,,,,186,,54,,82,
Pyrocystis lunula,,,,,,,,,,,
Resting stages,,,,,356,,444,540,,,
Scrippsiella precarea,,,,,,248,740,972,80,,
Scrippsiella trochoidea,,,,,,,370,756,,,
Unknown species,,,,,89,248,518,432,,1845,216
Unknown very small species (dino??),,,,,,15000,11668,35000,,6999,3889
,,,,,,,,,,,
Ebriidea,,,,,,,,,,,
Ebria tripartita,,,,,89,310,370,108,560,615,1728
,,,,,,,,,,,
Euglenophyta,,,,,,,,,,,
Eutriptiella hirudoidea,,,,,,,,,,,
Unknown species,,,,,89,10000,1406,432,80,164,32655
,,,,,,,,,,,
Kinetoplastidea,,,,,,,,,,,
Cafeteria minutae,,,,,,,,,,,
Metromonas simplex,,,,,,,2917,,,,
Phyllomitus yorkeensis,,,,,,,,,,,
Pleurostomum gracile,,,,,,,,,,,
Pseudobodo tremulans,,,,,,,,,,,
Telonema subtilis,,,,,5833,,14585,42000,,,
Unknown species,,,,,5833,,,,,,
,,,,,,,,,,,
Metazoa,,,,,,,,,,,
Appendicularia,,,,,,,,,,,
Copepod nauplii/ekdysis,,,,,,62,74,54,680,82,
Copepodids,,,,,,,,54,,41,
Crustacean pieces,,,,,,62,,54,80,,
Eggs,,,,,,,,,,,
Fecal Pellets,,,,,,496,222,378,440,,1728
Oikopleura ejecta (?),,,,,267,62,148,,,,
,,,,,,,,,,,
Protozoa,,,,,,,,,,,
Foraminifera,,,,,,,,,,,
Radiolaria,,,,,,,,,,,
,,,,,,,,,,,
Prymnesiophyta-Haptophyta,,,,,,,,,,,
Chrysochromulina spp,,,,,,,,,,,
Corymbellus sp.,,,,,,,,,22400,,
Phaeocystis poucheteii,,non-motile stg,,,,,,,,,
Phaeocystis poucheteii,,,,,534,,2146,,,,
,,,,,,,,,,,
Raphidiophyta,,,,,,,,,,,
Heterosigma akashiwo,,,,,,,,,,,3889
,,,,,,,,,,,
Unknown very small flagellated species,,,,,723292,805000,218775,777000,277115,88654,143893
,,,,,,,,,,,
Unknown very small non-flagellated cells,,,,,,,,,,,
,,,,,,,,,,,
Unknown cells,,,,,89,62,,,,82,
