species,,,,QPHY1299,QPHY1300,QPHY1301,QPHY1302,QPHY1304,QPHY1305,QPHY1281,QPHY1307,QPHY1308,QPHY1309,QPHY1310,QPHY1311,QPHY1324,QPHY1325,QPHY1326,QPHY1327
Pseudo-nitzschia seriata,,,,160,,,280,,1008,,,,,,,120,,,
Rhizosolenia setigera,,,,,,5000,1200,1760,38253,,,,,,,,,40,120
S. marinoi (large cells),,,,,,,,,,,,,480,,,,,,
S. marinoi (small cells),,,,320,,1720,,8954,2304,,,,160,,,,,240,360
Stephanopyxis nipponica,,,,,,,,,,,,,,,,,,,
Stephanopyxis turris,,,,,,,,,,,,,,,,,,,
Thalassionema nitzschioides,,,,40,40,120,160,120,288,40,,40,,,,,,40,40
Thalassiosira anguste-lineata,,,,,,,,,,,,,,,,,,160,
Thalassiosira nordenskioldii,,,,,,,,,,,,,,,,,,,
Thalassiosira pacifica,,,,,,,,,,,,,,,,,,,
Thalassiosira rotula,,,,,,,,200,,,,,40,120,,,,,120
Thalassiosira spp.,,,,240,,40,40,520,432,80,80,280,440,80,360,240,160,800,400
Thalassiosira sp. Auxospore,,,,,,,,,,,,,,,,,,,
Unidentified centric forms,,,,160,,120,80,360,,,40,200,320,160,,360,40,240,160
Unidentified very small centric forms,,,,,,5833,7000,,,,,,7778,,,,,4667,
Unidentified pennate forms,,,,560,,280,520,440,1296,1120,200,2480,360,,80,480,320,,
Unidentified very small pennate forms,,,,,,5833,14000,7778,4375,,,3500,3889,,2917,,1750,200,720
Unknown forms,,,,,,,,,,,,,,,,,,,
Total Cells/L,,,,2480,320,19586,25320,21852,124860,5081,1440,10500,27164,3240,3757,2760,3590,8547,5320
,,,,,,,,,,,,,,,,,,,
Chlorophyta,,,,,,,,,,,,,,,,,,,
Chlamydomonas spp.,,,,,,,,,,,,,,,,,,,
Oltmannsiella sp.,,,,,,,,,,,,,,,,,,,
Pterosperma spp.,,,,3889,,,,,,,,,,,5833,,,,
Pterosperma spp. resting stages,,,,,,,,,,,,,,,,,,,40
Pyramimonas grossii,,,,,7000,11666,,11667,13125,,3889,1750,11667,,,,,,
Pyramimonas orientalis,,,,7778,14000,17499,7000,27223,13125,3646,3889,1750,11667,,,,1750,6999,
Pyramimonas spp.,,,,,,,,3889,17500,,,,,,,,,4667,1750
Tetraselmis gracilis,,,,,,5833,,,17500,,,,,,,,,2333,
Unknown species,,,,178894,140000,64163,203000,85558,126875,36460,38890,26250,120559,90909,40838,43750,33250,41994,29750
,,,,,,,,,,,,,,,,,,,
Choanoflagellata,,,,,,,,,,,,,,,,,,,
Bicosta minor,,,,,,,,,,,,,,,,,,,
Calliacantha natans,,,,,,,,,,,,,,,,,,,
Monosiga marina,,,,,,5833,,3889,,,3889,,,,,,1750,,
Parvicorbicula socialis,,,,,,5833,,,,,,,,,,5250,,,
Unknown species,,,,11667,,,7000,11667,,,7778,15750,11667,13635,23336,7000,5250,13998,29750
,,,,,,,,,,,,,,,,,,,
Chrysophyta,,,,,,,,,,,,,,,,,,,
Apidinella spinifera,,,,,,,,,,,,,,,,,,,
Dinobryon spp.,,,,,,5833,7000,,4375,,,,,,,,,,
Unknown species,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Ciliophora,,,,,,,,,,,,,,,,,,,
Elongate form,,,,120,80,200,,,,120,,80,,400,120,80,120,40,
Myronecta rubra,,,,560,1360,2000,1880,1120,144,80,240,240,520,640,1440,640,680,480,240
Oligotricious forms (medium),,,,1880,4000,4440,7400,2320,1728,200,360,720,1000,1160,1360,800,1600,760,400
Oligotricious forms (large),,,,40,40,40,280,40,,40,80,40,,40,280,40,,,
Oligotricious forms (small),,,,1960,8880,8122,36698,1680,4032,5616,3600,3120,1680,7992,1680,1760,1480,1800,680
Tintinnid forms,,,,80,,120,80,40,,40,240,,160,,,40,80,80,
,,,,,,,,,,,,,,,,,,,
Cryptophyta,,,,,,,,,,,,,,,,,,,
Hillea sp.,,,,225562,714000,233320,476000,330565,306250,320833,416123,87500,248896,304515,107929,94500,124250,142313,113750
Teleaulax acuta,,,,11667,,,,,4375,3646,,,3889,,,1750,,,1750
Teleaulax amphioxiae,,,,7778,,,,3889,,,,,3889,,,,,,3500
Teleaulax spp.,,,,163338,497000,443308,700000,233340,144375,175008,101114,24500,155560,186345,43755,45500,47250,58325,35000
,,,,,,,,,,,,,,,,,,,
Cyanobacteria ,,(~large cells),,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Dictyochophyta,,,,,,,,,,,,,,,,,,,
Ciliophrys infusionum,,,,,,40,,,,,,,,,,,,80,
Dictyocha fibula,,,,,,40,,,,,,,,,,,,40,
Dictyocha octonaria,,,,,,,,,,,,,,,,,,,
Dictyocha speculum,,,,120,40,120,160,120,144,120,280,440,440,160,1200,1720,920,560,640
Dictyocha spore forms,,,,,,320,840,360,,,,120,,120,,120,,200,160
Meringosphaerae mediterranea,,,,,,,,,,,,,,,,,,,
Meringosphaerae tenerrima,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Dinoflagellata,,,,,,,,,,,,,,,,,,,
Alexandrium catenella,,,,,,,,,,,,,,,,,,,
Amylax triacantha,,,,,,,,,,,,,,,,,,,
Ceratium divericatum,,,,,,,,,,,,,,,,,,,
Ceratium lineatum,,,,,,,,,,,,,,,,,,,
Ceratium fusus,,,,,,,,,,,,,,,,,,,
Ceratium horridum,,,,,,,,,,,,,,,,,,,
Ceratium spp.,,,,,,,,,,,,,,,,,,,
Dinophysis acuminata,,,,,,40,40,,,,,,,,,,,,
Dinophysis acuta,,,,,,,,,,,,,,,,,,,
Dinophysis fortii,,,,40,,,,,,,,,,,,,,,
Dinophysis rotundata,,,,,,,,,,,,,,,,,,,
Dinophysis sp.,,,,,,,,,,,,,,,,,,,
Gonyaulax spp.,,,,40,,,,,,,,,,,,,,,
Gymnodinium spp.,,,,560,40,640,400,480,288,120,80,360,360,440,320,320,80,320,520
Gyrodinium spp.,,,,280,80,160,160,440,,40,,160,960,120,280,120,200,200,120
Katodinium glaucum,,,,,,,,,,,,,,,,,40,,
Katodinium spp.,,,,400,80,760,80,40,4375,40,,80,120,40,80,40,40,80,40
Noctiluca scintillans,,,,,,,,,,,,,,,,,,,
Oxyphysis oxytoxoides,,,,,,,,,,,,,,,,,,,
Prorocentrum gracilis,,,,,,40,,,,,,,40,,,,,,
Prorocentrum micans,,,,,,,,,,,,,,,,,,40,
Prorocentrum spp.,,,,,,,,,,,,,,,,40,,,
Protoperidinium conicum,,,,,,,,,,,,,,,,,,,
Protoperidinium depressun,,,,,,,,,,,,,,,,,,,
Protoperidinium leonis,,,,,,,,,,,,,,,,,,,
Protoperidinium oblongum,,,,,,,,,,,,,,,,,,,
Protoperidinium spp.,,,,,,,,40,,,,,,,,,,,40
Protoperidinium steinii,,,,,,,,,,,,,,,40,40,,,
Resting stages,,,,,,,,,,,40,40,40,,40,40,40,40,
Scrippsiella precarea,,,,360,40,,,400,,,40,,,,,,,,
Scrippsiella trochoidea,,,,200,40,,,520,,,,,,,,,,,
Unknown species,,,,,,1120,,,,,40,40,,40,80,40,120,,40
Unknown very small species (dino??),,,,7778,,17499,14000,7778,17500,7292,,1750,3889,,8751,1750,,4666,1750
,,,,,,,,,,,,,,,,,,,
Ebriidea,,,,,,,,,,,,,,,,,,,
Ebria tripartita,,,,120,,80,40,40,,,,,,,40,40,,40,
,,,,,,,,,,,,,,,,,,,
Euglenophyta,,,,,,,,,,,,,,,,,,,
Eutriptiella hirudoidea,,,,,,,,,,,,,,,,,,,
Unknown species,,,,,,5833,40,280,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Kinetoplastidea,,,,,,,,,,,,,,,,,,,
Cafeteria minutae,,,,,,,,,,,,,,,,,,,
Metromonas simplex,,,,,,,,,,,3889,,3889,,8751,,,,
Phyllomitus yorkeensis,,,,,,,,,,,,,,,,,,,
Pleurostomum gracile,,,,,,,,,,,,,,,,,,,
Pseudobodo tremulans,,,,,,,,,,,,,,,,,,,
Telonema subtilis,,,,,,,,,,,,,3889,4545,5834,,,,3500
Unknown species,,,,,,,,,,3646,,,,,11668,,,,
,,,,,,,,,,,,,,,,,,,
Metazoa,,,,,,,,,,,,,,,,,,,
Appendicularia,,,,,,40,,,,40,,,,,,,,,
Copepod nauplii/ekdysis,,,,,40,,,,,40,80,80,,,80,,40,,40
Copepodids,,,,,,,40,,144,80,40,40,,,,,,,
Crustacean pieces,,,,,,,40,,,120,40,,,40,80,,40,40,
Eggs,,,,40,,40,,,288,,,,,,,,120,,
Fecal Pellets,,,,120,120,120,720,360,288,640,360,1040,280,400,440,240,320,120,240
Oikopleura ejecta (?),,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Protozoa,,,,,,,,,,,,,,,,,,,
Foraminifera,,,,,,,,,,,,,,,,,,,
Radiolaria,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Prymnesiophyta-Haptophyta,,,,,,,,,,,,,,,,,,,
Chrysochromulina hirta,,,,,,,,,,,,,,,,,,,
Chrysochromulina spp,,,,,,,,,,,,,,,,,,,
Phaeocystis pouchetii,,,,,,81662,,,,,,,,,,,,16331,
Phaeocystis pouchetii, pouchetii non motile,,,,,,,3889,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Raphidiophyta,,,,,,,,,,,,,,,,,,,
Heterosigma akashiwo,,,,,,,,,,,,1750,,,,,,,
,,,,,,,,,,,,,,,,,,,
Unknown flagellae-bearing cells,,,,295564,413000,320815,441000,143893,262500,517732,303342,208750,287786,309060,504641,203000,91000,261296,189000
,,,,,,,,,,,,,,,,,,,
Unknown cells,,,,160,40,,40,,,80,80,520,,,120,40,,40,80
,,,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,Euphausiid grazers,,,,,
,,,,,,,,Euphausiids,,,Euphausiid,,,Bloom Corethron never,,,,,
,,,,,,,,grazers,,,grazers,,,seen before this sample,,,,,
